date,period,cpu_pct,memory_pct,disk_pct,api_latency_ms,p95_response_ms,api_calls,error_count,db_write_failures,log_collection_failures,monitor_process_health,status
2026-08-13,month3,39.8,63.2,51.1,790.8,1322.6,26,2,0,0,healthy,normal
2026-08-14,month3,32.9,55.3,50.2,1050.9,2268.2,17,3,0,0,healthy,normal
2026-08-15,month3,34.0,58.2,51.2,482.9,843.6,26,4,0,0,healthy,normal
2026-08-16,month3,38.0,54.3,46.6,1050.6,1869.7,21,2,0,0,healthy,normal
2026-08-17,month3,31.9,54.7,55.2,990.4,1909.4,26,3,0,0,healthy,normal
2026-08-18,month3,38.4,59.9,47.2,834.0,1541.6,21,3,0,0,healthy,normal
2026-08-19,month3,28.9,64.0,48.8,1018.7,1755.3,22,2,0,0,healthy,normal
2026-08-20,month3,31.3,63.0,49.1,685.6,1485.1,19,1,0,0,healthy,normal
2026-08-21,month3,28.9,53.3,51.6,928.8,1582.0,22,3,0,0,healthy,normal
2026-08-22,month3,32.2,52.6,51.9,1069.5,2079.8,22,4,0,0,healthy,normal
2026-08-23,month3,37.6,59.2,51.2,1238.6,2001.1,22,1,0,0,healthy,normal
2026-08-24,month3,38.1,51.4,49.9,1206.3,2794.5,18,2,0,0,healthy,normal
2026-08-25,month3,37.2,50.6,53.0,799.5,1419.2,17,1,0,0,healthy,normal
2026-08-26,month3,49.4,53.5,49.1,1001.0,2057.5,22,0,0,0,healthy,normal
2026-08-27,month3,54.1,54.4,49.3,1007.3,2116.2,18,2,0,0,healthy,normal
2026-08-28,month3,39.0,51.6,49.7,1024.9,2038.1,25,2,0,0,healthy,normal
2026-08-29,month3,47.8,62.8,52.7,1074.9,2227.0,23,0,0,0,healthy,normal
