inquiry_id,created_at,employee_id,employee_department,support_department,category,topic,source,search_minutes,asking_minutes,response_wait_minutes,answering_minutes,resolved,period
B0022,2026-05-25 09:40:00,E0220,IT운영,,인사,근태,internal_document,8.9,2.8,4.7,0.0,1,pre_chatbot_1m
B0023,2026-05-02 08:54:00,E0018,기획,총무팀,총무,택배/우편,support_department,8.4,1.1,67.5,7.1,1,pre_chatbot_1m
B0024,2026-05-27 18:22:00,E0094,IT운영,,재무,출장비,senior,2.3,2.7,9.2,4.3,1,pre_chatbot_1m
B0025,2026-05-11 11:30:00,E0038,기획,인사팀,인사,근태,support_department,6.4,2.9,54.2,10.4,1,pre_chatbot_1m
B0026,2026-05-19 03:12:00,E0261,IT운영,인사팀,인사,연차,support_department,8.0,3.2,30.9,10.2,1,pre_chatbot_1m
B0027,2026-05-11 21:24:00,E0169,인사,,IT,계정,senior,9.0,2.8,11.7,4.8,1,pre_chatbot_1m
B0028,2026-05-05 07:39:00,E0092,고객지원,총무팀,총무,회의실,support_department,6.1,3.0,56.8,9.6,1,pre_chatbot_1m
B0029,2026-05-31 07:48:00,E0038,고객지원,,재무,법인카드,senior,5.5,1.7,12.4,1.1,1,pre_chatbot_1m
B0030,2026-05-24 03:57:00,E0025,개발,,IT,계정,coworker,7.2,1.9,15.1,8.0,1,pre_chatbot_1m
B0031,2026-05-09 16:02:00,E0107,고객지원,인사팀,인사,연차,support_department,7.7,1.6,34.0,8.9,1,pre_chatbot_1m
B0032,2026-05-28 09:33:00,E0054,기획,,재무,출장비,coworker,6.1,3.3,12.1,1.0,1,pre_chatbot_1m
B0033,2026-05-14 21:07:00,E0064,IT운영,,IT,네트워크,coworker,5.9,2.8,7.3,2.1,1,pre_chatbot_1m
B0034,2026-05-26 21:24:00,E0009,기획,,인사,근태,senior,8.8,2.2,10.8,9.0,1,pre_chatbot_1m
B0035,2026-05-26 00:27:00,E0153,개발,,재무,법인카드,internal_document,8.7,1.8,9.6,0.0,1,pre_chatbot_1m
B0036,2026-05-11 06:01:00,E0075,디자인,,재무,법인카드,coworker,8.6,0.3,5.4,5.2,1,pre_chatbot_1m
B0037,2026-05-03 07:58:00,E0222,재무,,인사,연차,senior,6.0,1.9,30.3,7.5,1,pre_chatbot_1m
B0038,2026-05-05 23:17:00,E0070,고객지원,경영지원팀,일반규정,교육,support_department,6.8,2.1,59.1,2.7,1,pre_chatbot_1m
B0039,2026-05-14 10:31:00,E0031,고객지원,,IT,네트워크,senior,6.1,1.8,20.2,2.6,1,pre_chatbot_1m
B0040,2026-05-29 10:46:00,E0268,영업,인사팀,인사,복지,support_department,11.3,2.5,4.0,7.9,1,pre_chatbot_1m
B0041,2026-05-26 06:13:00,E0058,개발,,IT,프로그램 설치,coworker,10.7,2.1,20.6,6.1,1,pre_chatbot_1m
B0042,2026-05-15 12:32:00,E0176,인사,총무팀,총무,비품,support_department,3.1,3.4,41.6,6.6,1,pre_chatbot_1m
B0043,2026-05-30 07:52:00,E0270,인사,총무팀,총무,택배/우편,support_department,2.1,2.5,34.2,9.3,1,pre_chatbot_1m
B0044,2026-05-22 09:30:00,E0002,개발,IT지원팀,IT,계정,support_department,3.2,2.0,36.1,6.4,1,pre_chatbot_1m
B0045,2026-05-19 16:26:00,E0260,디자인,,총무,회의실,senior,7.6,1.2,2.8,7.7,1,pre_chatbot_1m
B0046,2026-05-14 08:33:00,E0088,디자인,,IT,VPN,senior,9.4,2.4,26.3,4.1,1,pre_chatbot_1m
B0047,2026-05-13 10:54:00,E0267,영업,,인사,근태,senior,0.9,1.7,13.8,4.4,1,pre_chatbot_1m
B0048,2026-05-09 01:55:00,E0150,개발,인사팀,인사,복지,support_department,6.0,1.5,80.3,5.3,1,pre_chatbot_1m
B0049,2026-05-13 16:25:00,E0284,디자인,IT지원팀,IT,VPN,support_department,8.5,1.6,23.9,7.0,1,pre_chatbot_1m
B0050,2026-05-10 03:52:00,E0040,기획,IT지원팀,IT,프로그램 설치,support_department,9.4,3.1,45.3,10.3,1,pre_chatbot_1m
B0051,2026-05-05 06:16:00,E0117,영업,총무팀,총무,택배/우편,support_department,7.0,2.2,53.3,4.3,0,pre_chatbot_1m
B0052,2026-05-22 17:13:00,E0285,영업,인사팀,인사,복지,support_department,12.1,1.1,23.7,6.5,1,pre_chatbot_1m
B0053,2026-05-20 13:00:00,E0148,고객지원,,총무,택배/우편,coworker,3.0,1.6,12.7,2.3,1,pre_chatbot_1m
B0054,2026-05-11 17:19:00,E0137,영업,,IT,네트워크,internal_document,4.3,1.7,6.0,0.0,1,pre_chatbot_1m
B0055,2026-05-19 07:09:00,E0235,IT운영,,인사,근태,coworker,8.9,1.0,21.4,3.0,1,pre_chatbot_1m
B0056,2026-05-03 02:54:00,E0285,디자인,,총무,회의실,senior,10.5,0.4,1.8,8.5,1,pre_chatbot_1m
B0057,2026-05-19 08:17:00,E0236,디자인,IT지원팀,IT,네트워크,support_department,7.7,1.8,31.2,6.1,1,pre_chatbot_1m
B0058,2026-05-16 21:31:00,E0216,고객지원,총무팀,총무,비품,support_department,4.8,2.7,6.7,13.2,1,pre_chatbot_1m
B0059,2026-05-14 10:02:00,E0003,디자인,,인사,연차,senior,7.5,2.7,24.6,1.0,1,pre_chatbot_1m
B0060,2026-05-19 21:07:00,E0181,고객지원,인사팀,인사,연차,support_department,7.8,2.3,39.0,8.7,1,pre_chatbot_1m
B0061,2026-05-24 17:43:00,E0130,고객지원,,재무,법인카드,senior,9.0,1.6,20.9,6.6,1,pre_chatbot_1m
B0062,2026-05-03 11:30:00,E0082,IT운영,IT지원팀,IT,프로그램 설치,support_department,4.6,1.7,70.1,12.2,1,pre_chatbot_1m
B0063,2026-05-26 10:48:00,E0107,개발,경영지원팀,일반규정,보안,support_department,6.0,1.8,28.1,9.7,1,pre_chatbot_1m
B0064,2026-05-30 20:54:00,E0091,재무,IT지원팀,IT,VPN,support_department,4.7,2.0,4.1,9.9,1,pre_chatbot_1m
B0065,2026-05-18 00:11:00,E0143,IT운영,총무팀,총무,택배/우편,support_department,6.1,1.1,55.0,6.4,1,pre_chatbot_1m
B0066,2026-05-05 00:55:00,E0237,인사,,인사,복지,internal_document,8.3,1.9,17.5,0.0,1,pre_chatbot_1m
B0067,2026-05-06 04:05:00,E0206,기획,인사팀,인사,급여,support_department,8.7,1.1,17.9,3.5,0,pre_chatbot_1m
B0068,2026-05-04 09:31:00,E0275,영업,IT지원팀,IT,프로그램 설치,support_department,11.4,1.7,58.7,11.3,1,pre_chatbot_1m
B0069,2026-05-17 15:39:00,E0239,개발,,총무,택배/우편,senior,5.6,1.1,15.7,7.0,1,pre_chatbot_1m
B0070,2026-05-21 13:22:00,E0050,영업,,IT,프로그램 설치,coworker,5.7,2.3,15.4,8.3,1,pre_chatbot_1m
B0071,2026-05-26 13:56:00,E0246,고객지원,,인사,복지,coworker,8.5,1.7,10.3,5.9,1,pre_chatbot_1m
B0072,2026-05-25 06:12:00,E0023,개발,,인사,근태,coworker,3.4,1.6,17.0,2.6,1,pre_chatbot_1m
B0073,2026-05-06 12:19:00,E0104,인사,,일반규정,보안,senior,5.3,2.3,20.9,2.5,1,pre_chatbot_1m
B0074,2026-05-02 04:44:00,E0116,인사,,일반규정,교육,coworker,9.3,2.1,21.6,4.7,1,pre_chatbot_1m
B0075,2026-05-28 18:12:00,E0105,개발,인사팀,인사,복지,support_department,5.0,1.6,39.9,11.0,1,pre_chatbot_1m
B0076,2026-05-11 17:43:00,E0179,기획,,IT,계정,internal_document,3.5,1.9,13.4,0.0,1,pre_chatbot_1m
B0077,2026-05-08 15:22:00,E0182,인사,인사팀,인사,복지,support_department,5.7,1.7,9.3,11.7,1,pre_chatbot_1m
B0078,2026-05-28 13:59:00,E0083,개발,총무팀,총무,비품,support_department,3.9,2.1,31.2,10.0,1,pre_chatbot_1m
B0079,2026-05-27 08:27:00,E0125,고객지원,IT지원팀,IT,네트워크,support_department,9.8,2.5,23.0,7.9,1,pre_chatbot_1m
B0080,2026-05-10 02:11:00,E0021,재무,,총무,택배/우편,senior,10.9,1.2,32.2,3.7,1,pre_chatbot_1m
B0081,2026-05-19 22:19:00,E0274,인사,IT지원팀,IT,VPN,support_department,4.0,0.7,56.2,12.0,1,pre_chatbot_1m
B0082,2026-05-29 16:24:00,E0064,개발,총무팀,총무,비품,support_department,9.4,2.4,45.5,11.5,1,pre_chatbot_1m
B0083,2026-05-18 15:34:00,E0110,재무,총무팀,총무,택배/우편,support_department,6.5,2.7,66.7,9.5,1,pre_chatbot_1m
B0084,2026-05-24 13:50:00,E0252,고객지원,재무팀,재무,법인카드,support_department,5.5,1.4,29.5,6.2,1,pre_chatbot_1m
B0085,2026-05-01 12:00:00,E0074,개발,총무팀,총무,택배/우편,support_department,10.6,0.9,39.3,13.0,1,pre_chatbot_1m
B0086,2026-05-19 15:32:00,E0186,인사,,인사,복지,internal_document,4.8,0.8,4.4,0.0,1,pre_chatbot_1m
B0087,2026-05-28 20:20:00,E0033,개발,,IT,프로그램 설치,senior,2.2,2.8,18.3,5.2,1,pre_chatbot_1m
B0088,2026-05-03 11:29:00,E0172,고객지원,IT지원팀,IT,프로그램 설치,support_department,7.4,0.7,4.0,6.5,1,pre_chatbot_1m
B0089,2026-05-26 22:06:00,E0080,기획,인사팀,인사,급여,support_department,4.3,1.9,13.7,11.3,1,pre_chatbot_1m
B0090,2026-05-23 09:56:00,E0111,영업,,IT,VPN,internal_document,7.0,2.9,11.4,0.0,1,pre_chatbot_1m
B0091,2026-05-12 01:38:00,E0086,디자인,IT지원팀,IT,VPN,support_department,12.7,1.3,48.3,8.7,0,pre_chatbot_1m
B0092,2026-05-26 08:53:00,E0164,고객지원,재무팀,재무,출장비,support_department,6.5,2.4,45.5,14.0,1,pre_chatbot_1m
B0093,2026-05-16 04:41:00,E0100,디자인,,재무,경비,coworker,8.3,2.3,15.0,6.1,1,pre_chatbot_1m
B0094,2026-05-17 00:55:00,E0003,디자인,IT지원팀,IT,계정,support_department,6.1,1.5,10.2,14.6,1,pre_chatbot_1m
B0095,2026-05-06 10:19:00,E0249,고객지원,IT지원팀,IT,프로그램 설치,support_department,8.6,1.4,28.5,5.8,1,pre_chatbot_1m
B0096,2026-05-21 01:29:00,E0141,재무,,인사,근태,coworker,5.4,2.6,16.0,3.8,1,pre_chatbot_1m
B0097,2026-05-30 11:03:00,E0027,IT운영,,일반규정,재택근무,senior,1.3,2.1,1.0,2.9,1,pre_chatbot_1m
B0098,2026-05-28 08:23:00,E0200,개발,인사팀,인사,연차,support_department,9.6,2.1,39.1,8.8,1,pre_chatbot_1m
B0099,2026-05-20 18:24:00,E0238,재무,IT지원팀,IT,계정,support_department,9.1,1.5,57.2,7.4,1,pre_chatbot_1m
B0100,2026-05-27 20:38:00,E0201,기획,총무팀,총무,택배/우편,support_department,7.4,1.3,37.7,7.1,1,pre_chatbot_1m
B0101,2026-05-01 17:49:00,E0279,IT운영,인사팀,인사,급여,support_department,6.4,1.9,60.3,10.2,1,pre_chatbot_1m
B0102,2026-05-24 19:04:00,E0193,영업,,IT,VPN,coworker,5.6,1.3,14.3,6.1,1,pre_chatbot_1m
B0103,2026-05-10 22:28:00,E0018,IT운영,인사팀,인사,근태,support_department,4.8,1.1,64.1,14.6,1,pre_chatbot_1m
B0104,2026-05-01 13:46:00,E0089,인사,,IT,VPN,senior,5.7,3.4,7.3,6.2,1,pre_chatbot_1m
B0105,2026-05-16 17:20:00,E0003,IT운영,인사팀,인사,연차,support_department,4.7,2.6,61.4,5.7,1,pre_chatbot_1m
B0106,2026-05-09 11:05:00,E0025,디자인,,IT,프로그램 설치,coworker,3.9,2.0,16.6,7.9,1,pre_chatbot_1m
B0107,2026-05-25 01:55:00,E0277,IT운영,,총무,비품,senior,9.3,1.5,6.7,4.8,1,pre_chatbot_1m
B0108,2026-05-09 11:28:00,E0189,인사,,재무,출장비,coworker,7.9,2.7,17.4,5.4,1,pre_chatbot_1m
B0109,2026-05-20 18:36:00,E0109,디자인,,인사,근태,senior,5.9,1.7,19.8,6.7,1,pre_chatbot_1m
B0110,2026-05-16 13:21:00,E0271,인사,,인사,급여,coworker,2.7,1.7,13.3,2.6,1,pre_chatbot_1m
B0111,2026-05-29 15:47:00,E0011,기획,,재무,법인카드,senior,7.5,2.5,24.5,4.6,1,pre_chatbot_1m
B0112,2026-05-18 09:18:00,E0237,개발,IT지원팀,IT,계정,support_department,6.9,2.0,51.4,9.9,1,pre_chatbot_1m
B0113,2026-05-19 06:02:00,E0139,디자인,,인사,급여,senior,2.6,2.0,21.4,8.4,1,pre_chatbot_1m
B0114,2026-05-12 14:27:00,E0099,고객지원,IT지원팀,IT,VPN,support_department,5.8,0.8,90.3,5.3,1,pre_chatbot_1m
B0115,2026-05-04 07:18:00,E0212,개발,인사팀,인사,연차,support_department,6.6,1.9,55.0,11.5,1,pre_chatbot_1m
B0116,2026-05-23 02:53:00,E0225,재무,재무팀,재무,출장비,support_department,4.7,2.9,55.1,13.6,1,pre_chatbot_1m
B0117,2026-05-10 18:54:00,E0042,디자인,,인사,급여,senior,7.0,1.7,22.2,4.4,0,pre_chatbot_1m
B0118,2026-05-02 23:34:00,E0049,디자인,IT지원팀,IT,네트워크,support_department,2.2,2.4,71.8,7.2,1,pre_chatbot_1m
B0119,2026-05-10 11:32:00,E0031,영업,IT지원팀,IT,계정,support_department,8.3,1.4,62.5,9.2,1,pre_chatbot_1m
B0120,2026-05-21 04:55:00,E0291,기획,재무팀,재무,경비,support_department,7.3,1.3,29.8,7.9,1,pre_chatbot_1m
B0121,2026-05-02 06:25:00,E0184,고객지원,재무팀,재무,출장비,support_department,9.4,2.2,38.4,6.6,1,pre_chatbot_1m
B0122,2026-05-11 10:53:00,E0169,영업,,IT,VPN,internal_document,7.5,2.7,12.6,0.0,1,pre_chatbot_1m
B0123,2026-05-06 05:07:00,E0148,재무,IT지원팀,IT,네트워크,support_department,4.9,2.4,50.8,13.3,1,pre_chatbot_1m
B0124,2026-05-17 08:22:00,E0278,영업,,총무,택배/우편,coworker,3.2,2.5,32.8,4.4,1,pre_chatbot_1m
B0125,2026-05-11 17:04:00,E0106,고객지원,,인사,복지,coworker,6.9,2.4,12.6,6.9,0,pre_chatbot_1m
B0126,2026-05-14 11:55:00,E0181,디자인,,재무,출장비,senior,7.0,3.3,17.4,3.1,1,pre_chatbot_1m
B0127,2026-05-21 22:41:00,E0224,고객지원,,IT,네트워크,coworker,9.3,1.4,4.5,5.6,0,pre_chatbot_1m
B0128,2026-05-11 11:20:00,E0244,개발,,일반규정,보안,internal_document,3.6,2.3,5.0,0.0,1,pre_chatbot_1m
B0129,2026-05-03 06:23:00,E0154,기획,인사팀,인사,급여,support_department,3.8,0.6,31.9,11.8,1,pre_chatbot_1m
B0130,2026-05-08 19:29:00,E0247,IT운영,재무팀,재무,경비,support_department,6.8,2.2,24.2,11.5,1,pre_chatbot_1m
B0131,2026-05-27 04:29:00,E0065,개발,IT지원팀,IT,계정,support_department,5.7,2.3,22.2,9.6,1,pre_chatbot_1m
B0132,2026-05-13 21:25:00,E0093,영업,IT지원팀,IT,네트워크,support_department,3.8,2.4,42.6,7.1,1,pre_chatbot_1m
B0133,2026-05-28 11:57:00,E0166,IT운영,IT지원팀,IT,프로그램 설치,support_department,5.6,2.4,45.9,15.1,1,pre_chatbot_1m
B0134,2026-05-21 14:21:00,E0112,재무,,인사,근태,senior,6.9,1.1,8.1,1.0,1,pre_chatbot_1m
B0135,2026-05-10 00:37:00,E0002,개발,인사팀,인사,복지,support_department,7.0,2.6,23.0,8.3,1,pre_chatbot_1m
B0136,2026-05-12 17:01:00,E0109,인사,IT지원팀,IT,네트워크,support_department,8.5,2.1,47.5,3.4,1,pre_chatbot_1m
B0137,2026-05-14 14:23:00,E0107,IT운영,,IT,VPN,senior,5.1,2.3,13.1,4.5,1,pre_chatbot_1m
B0138,2026-05-28 18:50:00,E0150,인사,경영지원팀,일반규정,교육,support_department,8.7,2.9,65.1,11.0,1,pre_chatbot_1m
B0139,2026-05-30 15:19:00,E0159,고객지원,,재무,출장비,coworker,2.7,1.8,10.8,7.1,1,pre_chatbot_1m
B0140,2026-05-28 20:50:00,E0130,기획,IT지원팀,IT,네트워크,support_department,7.7,3.1,46.5,14.4,1,pre_chatbot_1m
B0141,2026-05-30 03:13:00,E0109,개발,경영지원팀,일반규정,보안,support_department,2.5,2.8,11.5,11.6,1,pre_chatbot_1m
B0142,2026-05-16 19:07:00,E0087,영업,,재무,경비,coworker,6.8,1.4,21.5,3.8,1,pre_chatbot_1m
B0143,2026-05-03 09:16:00,E0124,개발,,일반규정,재택근무,senior,4.5,2.5,19.9,3.9,1,pre_chatbot_1m
B0144,2026-05-02 11:21:00,E0204,영업,,인사,근태,coworker,5.5,1.2,23.2,6.8,1,pre_chatbot_1m
B0145,2026-05-16 06:26:00,E0121,기획,,IT,프로그램 설치,coworker,5.3,3.1,6.8,6.0,1,pre_chatbot_1m
B0146,2026-05-10 00:35:00,E0259,IT운영,경영지원팀,일반규정,보안,support_department,9.0,1.6,23.9,10.7,1,pre_chatbot_1m
B0147,2026-05-19 04:46:00,E0109,기획,,재무,출장비,coworker,7.5,0.7,20.3,2.2,1,pre_chatbot_1m
B0148,2026-05-05 10:29:00,E0156,인사,,재무,출장비,senior,5.8,1.3,26.4,3.1,1,pre_chatbot_1m
B0149,2026-05-28 00:29:00,E0268,고객지원,재무팀,재무,출장비,support_department,6.5,1.9,77.6,10.6,1,pre_chatbot_1m
B0150,2026-05-23 15:45:00,E0278,인사,인사팀,인사,복지,support_department,5.7,2.6,39.2,9.6,1,pre_chatbot_1m
B0151,2026-05-09 06:08:00,E0073,재무,,인사,급여,coworker,7.8,2.5,16.7,3.7,1,pre_chatbot_1m
B0152,2026-05-05 00:23:00,E0125,재무,,인사,근태,senior,6.4,2.2,25.0,2.7,0,pre_chatbot_1m
B0153,2026-05-16 05:29:00,E0167,인사,,IT,VPN,internal_document,8.4,1.9,9.3,0.0,1,pre_chatbot_1m
B0154,2026-05-13 01:07:00,E0161,영업,,IT,네트워크,senior,2.2,3.3,25.1,5.5,1,pre_chatbot_1m
B0155,2026-05-18 17:36:00,E0053,영업,재무팀,재무,출장비,support_department,9.2,0.9,46.4,9.1,1,pre_chatbot_1m
B0156,2026-05-12 11:56:00,E0164,영업,,일반규정,재택근무,senior,6.5,2.5,16.9,4.2,1,pre_chatbot_1m
B0157,2026-05-03 03:45:00,E0281,영업,인사팀,인사,급여,support_department,2.8,2.2,68.9,11.8,1,pre_chatbot_1m
B0158,2026-05-18 23:17:00,E0220,인사,경영지원팀,일반규정,재택근무,support_department,10.5,1.0,38.7,11.5,1,pre_chatbot_1m
B0159,2026-05-27 04:38:00,E0229,영업,IT지원팀,IT,VPN,support_department,8.8,2.0,49.8,5.1,1,pre_chatbot_1m
B0160,2026-05-04 21:14:00,E0282,인사,,인사,급여,coworker,4.8,1.9,13.3,3.1,1,pre_chatbot_1m
B0161,2026-05-20 00:51:00,E0194,영업,IT지원팀,IT,네트워크,support_department,7.6,2.3,25.2,10.4,1,pre_chatbot_1m
B0162,2026-05-25 22:28:00,E0198,IT운영,,총무,비품,coworker,7.7,2.1,14.0,5.2,1,pre_chatbot_1m
B0163,2026-05-25 10:21:00,E0082,IT운영,인사팀,인사,복지,support_department,8.8,1.2,43.3,7.7,1,pre_chatbot_1m
B0164,2026-05-24 22:10:00,E0246,기획,인사팀,인사,복지,support_department,2.2,3.1,47.9,2.6,1,pre_chatbot_1m
B0165,2026-05-13 01:39:00,E0211,인사,총무팀,총무,비품,support_department,4.6,3.1,44.8,9.1,1,pre_chatbot_1m
B0166,2026-05-05 16:06:00,E0079,고객지원,,총무,회의실,internal_document,5.5,1.4,12.7,0.0,1,pre_chatbot_1m
B0167,2026-05-16 23:34:00,E0205,영업,재무팀,재무,법인카드,support_department,8.5,2.1,40.8,13.8,1,pre_chatbot_1m
B0168,2026-05-13 23:31:00,E0020,인사,,인사,복지,internal_document,7.6,0.9,5.9,0.0,1,pre_chatbot_1m
B0169,2026-05-21 07:22:00,E0247,개발,,IT,계정,internal_document,8.1,1.6,8.0,0.0,0,pre_chatbot_1m
B0170,2026-05-02 05:19:00,E0041,IT운영,,인사,복지,coworker,8.5,0.3,12.8,4.8,1,pre_chatbot_1m
B0171,2026-05-11 03:46:00,E0160,IT운영,인사팀,인사,급여,support_department,5.1,2.8,28.8,5.3,0,pre_chatbot_1m
B0172,2026-05-26 22:59:00,E0168,디자인,,인사,근태,coworker,7.7,0.6,28.4,5.0,1,pre_chatbot_1m
B0173,2026-05-20 23:38:00,E0056,고객지원,,일반규정,교육,senior,6.7,3.4,20.8,2.3,1,pre_chatbot_1m
B0174,2026-05-25 21:43:00,E0208,개발,,인사,근태,senior,6.7,1.6,25.8,2.7,1,pre_chatbot_1m
B0175,2026-05-22 23:29:00,E0045,재무,,재무,출장비,coworker,3.2,2.3,24.2,5.3,1,pre_chatbot_1m
B0176,2026-05-28 21:01:00,E0177,인사,,IT,프로그램 설치,senior,7.2,2.9,18.3,3.5,1,pre_chatbot_1m
B0177,2026-05-19 09:32:00,E0173,개발,,인사,복지,coworker,4.0,3.0,12.1,1.4,1,pre_chatbot_1m
B0178,2026-05-13 20:11:00,E0266,고객지원,,일반규정,보안,coworker,9.6,2.2,1.0,1.8,1,pre_chatbot_1m
B0179,2026-05-12 03:53:00,E0224,인사,,총무,비품,coworker,10.9,1.6,22.5,5.7,1,pre_chatbot_1m
B0180,2026-05-24 09:26:00,E0198,IT운영,IT지원팀,IT,VPN,support_department,6.7,1.4,57.0,10.6,1,pre_chatbot_1m
B0181,2026-05-12 15:57:00,E0170,디자인,인사팀,인사,복지,support_department,6.0,2.5,74.3,10.4,1,pre_chatbot_1m
B0182,2026-05-03 08:01:00,E0036,고객지원,,총무,택배/우편,internal_document,8.8,2.2,8.7,0.0,0,pre_chatbot_1m
B0183,2026-05-23 03:08:00,E0297,재무,,재무,경비,coworker,6.4,3.6,25.1,5.2,1,pre_chatbot_1m
B0184,2026-05-04 21:01:00,E0089,인사,,IT,VPN,internal_document,4.3,1.2,10.9,0.0,1,pre_chatbot_1m
B0185,2026-05-20 23:39:00,E0200,IT운영,총무팀,총무,택배/우편,support_department,6.9,3.2,19.2,12.1,1,pre_chatbot_1m
B0186,2026-05-26 17:46:00,E0010,인사,,IT,프로그램 설치,coworker,9.0,1.6,18.5,1.0,1,pre_chatbot_1m
B0187,2026-05-26 22:09:00,E0212,인사,,인사,급여,coworker,10.2,2.8,9.4,5.5,1,pre_chatbot_1m
B0188,2026-05-18 15:21:00,E0041,재무,,인사,복지,coworker,9.2,2.4,14.4,10.3,1,pre_chatbot_1m
B0189,2026-05-09 16:12:00,E0095,인사,,일반규정,교육,coworker,9.3,1.2,24.0,5.8,1,pre_chatbot_1m
B0190,2026-05-14 03:14:00,E0216,기획,,재무,경비,coworker,8.0,2.9,21.9,7.9,1,pre_chatbot_1m
B0191,2026-05-07 06:52:00,E0095,기획,,총무,택배/우편,coworker,5.6,2.8,18.8,1.0,1,pre_chatbot_1m
B0192,2026-05-12 14:31:00,E0294,영업,재무팀,재무,법인카드,support_department,6.8,2.1,49.8,13.4,1,pre_chatbot_1m
B0193,2026-05-19 06:17:00,E0212,영업,,총무,회의실,coworker,1.8,1.8,19.1,2.3,0,pre_chatbot_1m
B0194,2026-05-25 15:58:00,E0126,IT운영,경영지원팀,일반규정,보안,support_department,9.4,2.8,54.6,2.0,1,pre_chatbot_1m
B0195,2026-05-03 13:58:00,E0054,인사,인사팀,인사,연차,support_department,6.9,2.0,19.6,11.7,1,pre_chatbot_1m
B0196,2026-05-24 04:49:00,E0045,기획,재무팀,재무,경비,support_department,7.1,2.4,36.4,10.7,1,pre_chatbot_1m
B0197,2026-05-31 07:06:00,E0156,고객지원,IT지원팀,IT,네트워크,support_department,5.6,2.9,39.5,10.0,1,pre_chatbot_1m
B0198,2026-05-24 15:24:00,E0003,디자인,IT지원팀,IT,VPN,support_department,8.6,1.4,11.9,7.4,1,pre_chatbot_1m
B0199,2026-05-21 05:41:00,E0033,고객지원,,IT,네트워크,internal_document,7.5,1.8,0.5,0.0,1,pre_chatbot_1m
B0200,2026-05-25 04:23:00,E0060,기획,경영지원팀,일반규정,재택근무,support_department,7.3,2.3,50.1,10.9,1,pre_chatbot_1m
B0201,2026-05-05 14:52:00,E0043,IT운영,,IT,프로그램 설치,senior,9.6,2.4,1.0,6.1,1,pre_chatbot_1m
B0202,2026-05-23 07:50:00,E0019,재무,,IT,프로그램 설치,coworker,10.3,1.7,10.5,3.5,1,pre_chatbot_1m
B0203,2026-05-17 23:31:00,E0018,IT운영,IT지원팀,IT,네트워크,support_department,10.0,4.3,40.1,13.2,1,pre_chatbot_1m
